abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
6978181	264.1241225	C14H19NO4	NO4	CHNO	14	19	4	1	0	0	0	265.1313989	264.1241317	-0.034693753	0.034693753	264	263.8291991	0.170800903	6	0.285714286	1.357142857	2	20.3947237	19	0.931613504	30	0.633333333	1.6383E-05	2.115645945	2
5759040	265.0507532	C16H10O4	O4	CHO	16	10	4	0	0	0	0	266.0580297	265.0506324	0.454204762	0.454204762	265	264.7547952	0.245204838	12	0.25	0.625	8	20.46599299	20	0.977230864	34	0.294117647	1.35207E-05	1.746026597	2
21479546	265.0869813	C17H14O3	O3	CHO	17	14	3	0	0	0	0	266.0942577	265.0870179	-0.137515582	0.137515582	265	264.7909828	0.209017222	11	0.176470588	0.823529412	8	20.46879187	20	0.977097238	36	0.388888889	5.04285E-05	6.512171925	7
5924534	266.0823531	C16H13NO3	NO3	CHNO	16	13	3	1	0	0	0	267.0896296	266.0822668	0.323153124	0.323153124	266	265.7852432	0.214756785	11	0.1875	0.8125	8	20.54534948	20	0.973456305	34	0.382352941	1.39093E-05	1.796201092	2
4114114	266.0895442	C10H13N5O4	N5O4	CHNO	10	13	4	5	0	0	0	267.0968206	266.0894775	0.249619291	0.249619291	266	265.7924262	0.207573801	7	0.4	1.3	3	20.54590415	19	0.924758524	22	0.590909091	9.65888E-06	1.247317689	1
6647004	267.051729	C8H9N8OCl	N8OCl	CHNOCl	8	9	1	8	0	0	1	268.0590054	267.0515085	0.822433267	0.822433267	267	266.7535366	0.246463369	8	0.125	1.125	7	20.61990654	18	0.872942851	18	0.5	1.56055E-05	2.015239653	2
17648884	267.066227	C16H12O4	O4	CHO	16	12	4	0	0	0	0	268.0735035	267.0662824	-0.20671717	0.20671717	267	266.7680185	0.23198153	11	0.25	0.75	7	20.62104299	20	0.969883047	34	0.352941176	4.1435E-05	5.350791255	5
5696790	267.087224	C13H16O6	O6	CHO	13	16	6	0	0	0	0	268.0945005	267.0874118	-0.700305192	0.700305192	267	266.7889921	0.211007936	6	0.461538462	1.230769231	0	20.62266833	19	0.921316277	28	0.571428571	1.33746E-05	1.727153633	2
14748974	267.1017451	C12H17N4OCl	N4OCl	CHNOCl	12	17	1	4	0	0	1	268.1090215	267.1018127	-0.252399439	0.252399439	267	266.8034969	0.196503123	6	0.083333333	1.416666667	5	20.62377609	18	0.872779064	26	0.653846154	3.46268E-05	4.471596113	4
137809200	267.1027031	C17H16O3	O3	CHO	17	16	3	0	0	0	0	268.1099795	267.1026679	0.131095983	0.131095983	267	266.8044538	0.195546191	10	0.176470588	0.941176471	7	20.62384188	20	0.969751423	36	0.444444444	0.000323541	41.78101359	42
5516645	267.1352751	C13H20N2O4	N2O4	CHNO	13	20	4	2	0	0	0	268.1425516	267.1350307	0.911622976	0.911622976	267	266.8369895	0.1630105	5	0.307692308	1.538461538	1	20.62633132	19	0.921152662	28	0.714285714	1.29517E-05	1.672537245	2
11473706	268.0343188	C7H12N3O6Cl	N3O6Cl	CHNOCl	7	12	6	3	0	0	1	269.0415953	268.0341867	0.491168572	0.491168572	268	267.7350293	0.264970683	3	0.857142857	1.714285714	-3	20.69549716	17	0.821434724	16	0.75	2.69373E-05	3.478599878	3
5559187	268.097999	C16H15NO3	NO3	CHNO	16	15	3	1	0	0	0	269.1052754	268.0979169	0.304902803	0.304902803	268	267.7986383	0.201361669	10	0.1875	0.9375	7	20.70039949	20	0.966164929	34	0.441176471	1.30515E-05	1.685435135	2
9623993	269.0455057	C15H10O5	O5	CHO	15	10	5	0	0	0	0	270.0527822	269.045547	-0.152705788	0.152705788	269	268.7450871	0.254912876	11	0.333333333	0.666666667	6	20.77329411	20	0.962774603	32	0.3125	2.25947E-05	2.917803617	3
8509918	269.0674238	C8H11N8OCl	N8OCl	CHNOCl	8	11	1	8	0	0	1	270.0747002	269.0671586	0.981953661	0.981953661	269	268.7669807	0.233019308	7	0.125	1.375	6	20.77495654	18	0.866427805	18	0.611111111	1.99791E-05	2.580038195	3
88758776	269.0819468	C16H14O4	O4	CHO	16	14	4	0	0	0	0	270.0892233	269.0819325	0.053037467	0.053037467	269	268.7814875	0.218512497	10	0.25	0.875	6	20.776093	20	0.962644902	34	0.411764706	0.000208383	26.9098988	27
