compound	reaction	type	A2O_abundance	AO_abundance
C00002	R05221	NA	0.11320754716981132	0.08163265306122448
C00008	R05221	NA	0.11320754716981132	0.08163265306122448
C06508	R05221	NA	0.11320754716981132	0.08163265306122448
C06509	R05221	NA	0.11320754716981132	0.08163265306122448
C00002	R05220	NA	0.8805031446540881	0.8775510204081632
C00536	R05220	NA	0.8805031446540881	0.8775510204081632
C06505	R05220	NA	0.8805031446540881	0.8775510204081632
C06506	R05220	NA	0.8805031446540881	0.8775510204081632
C00001	R05227	NA	0.0660377358490566	0.061224489795918366
C00002	R05227	NA	0.0660377358490566	0.061224489795918366
C00008	R05227	NA	0.0660377358490566	0.061224489795918366
C00009	R05227	NA	0.0660377358490566	0.061224489795918366
C00080	R05227	NA	0.0660377358490566	0.061224489795918366
C00175	R05227	NA	0.0660377358490566	0.061224489795918366
C06503	R05227	NA	0.0660377358490566	0.061224489795918366
C06504	R05227	NA	0.0660377358490566	0.061224489795918366
C00001	R05225	NA	0.050314465408805034	0.07142857142857142
C00002	R05225	NA	0.050314465408805034	0.07142857142857142
C00008	R05225	NA	0.050314465408805034	0.07142857142857142
C00009	R05225	NA	0.050314465408805034	0.07142857142857142
C00025	R05225	NA	0.050314465408805034	0.07142857142857142
C00064	R05225	NA	0.050314465408805034	0.07142857142857142
C06506	R05225	NA	0.050314465408805034	0.07142857142857142
C06507	R05225	NA	0.050314465408805034	0.07142857142857142
C00221	R01602	NA	0.3522012578616352	0.3673469387755102
C00267	R01602	NA	0.3522012578616352	0.3673469387755102
C00001	R11357	NA	0.1509433962264151	0.12244897959183673
C00007	R11357	NA	0.1509433962264151	0.12244897959183673
C00080	R11357	NA	0.1509433962264151	0.12244897959183673
C00138	R11357	NA	0.1509433962264151	0.12244897959183673
C00139	R11357	NA	0.1509433962264151	0.12244897959183673
C00599	R11357	NA	0.1509433962264151	0.12244897959183673
C21076	R11357	NA	0.1509433962264151	0.12244897959183673
C00001	R04798	NA	0.5660377358490566	0.5102040816326531
C00007	R04798	NA	0.5660377358490566	0.5102040816326531
C00028	R04798	NA	0.5660377358490566	0.5102040816326531
C00030	R04798	NA	0.5660377358490566	0.5102040816326531
C05430	R04798	NA	0.5660377358490566	0.5102040816326531
C05431	R04798	NA	0.5660377358490566	0.5102040816326531
C00019	R10060	NA	0.006289308176100629	0.01020408163265306
C00021	R10060	NA	0.006289308176100629	0.01020408163265306
C00037	R10060	NA	0.006289308176100629	0.01020408163265306
C01026	R10060	NA	0.006289308176100629	0.01020408163265306
C00001	R10068	NA	0.012578616352201259	0.02040816326530612
C00005	R10068	NA	0.012578616352201259	0.02040816326530612
C00006	R10068	NA	0.012578616352201259	0.02040816326530612
C00007	R10068	NA	0.012578616352201259	0.02040816326530612
C00080	R10068	NA	0.012578616352201259	0.02040816326530612
C04536	R10068	NA	0.012578616352201259	0.02040816326530612
C11831	R10068	NA	0.012578616352201259	0.02040816326530612
C00007	R11620	NA	0.025157232704402517	0.04081632653061224
