genome	A2O_PRE	A2O_A1	A2O_A2	A2O_O	AO_A	AO_O
AO.29	298.94994	332.5055433	300.1585733	308.69927	1626.4621	1708.218433
A2O.135	1104.3218	792.0141333	981.96547	366.6998167	1383.611267	1330.3533
A2O.93	1010.273347	1130.835687	1019.7078	1098.136747	928.3819	981.9305667
A2O.6	846.4114467	708.4465167	786.4879133	502.1289967	851.9189167	889.2945667
A2O.128	372.02259	397.3448367	378.6329367	406.0544233	404.2267067	386.6873833
AO.66	1485.3108	1432.758	1428.642033	1464.074667	585.4252	638.9165567
AO.57	1490.066533	1595.674533	1479.2148	1595.2409	1023.09082	1032.665567
A2O.3	468.82134	489.3919733	483.2074467	483.7798167	436.10015	446.9223767
A2O.96	486.5009833	720.1911033	645.7969967	472.7608267	965.19185	565.7543067
AO.96	111.7010233	121.0722533	112.3716733	118.6463333	487.08429	507.6688533
AO.30	191.7279833	211.46098	195.6334733	216.7439733	1457.4899	1465.960867
A2O.30	2386.7547	2451.4183	2471.022333	2576.479767	1629.252533	1658.2404
A2O.151	1555.619367	1537.536433	1546.332433	1531.330567	865.8820167	925.8840667
A2O.81	607.1336167	633.5574367	613.52778	664.7629833	448.3779	470.2394333
AO.93	386.8322067	386.95979	369.0537567	373.3980033	354.9685233	340.141
A2O.35	230.8939333	251.8252167	235.1447767	248.5930733	288.6551867	301.8153667
AO.11	70.52941	77.41767	72.61941	76.39027333	1392.19588	1418.8475
A2O.108	345.9129167	351.0091967	339.39283	350.2031133	265.87395	275.6200133
AO.55	2250.4676	2328.8385	2256.768467	2376.368567	1523.487233	1515.013733
AO.86	268.8166433	276.3307467	266.6761967	272.68735	334.1819	351.2158633
A2O.107	3460.28	3563.4757	3509.5832	3592.0168	1747.833467	1785.850433
AO.37	819.86962	849.7106533	839.4578333	872.8903	950.6293	979.1065867
A2O.137	415.3864733	427.6637	434.2802	441.3590367	641.3308833	676.5243867
AO.27	4450.9934	4490.198867	4322.492533	3813.795067	2859.168833	2871.911033
AO.20	992.19517	1128.635953	1061.70032	1241.948867	1987.847033	1973.059633
A2O.9	1482.057	1539.340967	1489.7274	1558.361033	703.8728067	709.4693667
A2O.36	1937.648067	1667.544633	1664.232233	1758.903733	539.86611	606.6316233
A2O.25	892.6849867	834.9476333	693.1274767	551.3039433	369.6382667	316.9114767
A2O.64	1282.589617	1383.2412	1259.195	1343.3389	145.2876267	138.02719
A2O.133	4688.4163	5116.449767	4708.0275	5237.7818	3504.7876	3502.335733
A2O.51	571.8003467	590.1095433	586.01259	572.5994833	746.7852667	789.63825
AO.45	5651.4902	5712.5165	5698.897867	5952.323133	2461.7966	2528.660167
A2O.122	919.6631667	977.5337333	962.8625	1017.400017	779.0915	791.8424333
A2O.5	684.7764333	712.9826667	685.5023667	714.2474667	890.5650133	879.2943533
A2O.94	1056.93048	1074.653967	1090.75458	1118.112597	715.8268533	735.2010333
A2O.27	351.03299	380.25371	359.4372033	399.01205	206.2362	207.14719
A2O.54	830.96645	826.2895467	809.6963033	842.8804	594.3055767	608.6327467
A2O.33	5283.614	5561.7049	5645.724067	5865.855067	6826.992167	6963.653333
AO.48	352.7712333	343.3345667	359.18648	344.043	321.9559933	341.5502067
A2O.91	274.8017633	299.7044533	280.5061833	295.7614033	329.79455	343.85807
AO.52	2369.855667	2395.5499	2366.491367	2233.173933	2447.736967	2460.723433
A2O.136	1697.0268	1707.1483	1735.3883	1804.992433	1499.661767	1501.494467
A2O.129	434.8564367	438.2227767	431.6714867	450.15728	381.73041	394.42528
A2O.55	1156.5632	1207.61772	1168.133	1226.28073	491.98018	503.59866
A2O.157	1385.2211	1401.264433	1419.146033	1449.1919	1667.951167	1699.743533
AO.99	1747.652933	1779.2177	1663.009667	1874.4778	1070.787387	1187.34924
AO.25	10421.227	10890.442	11022.50967	11178.64367	11256.77567	12002.26967
A2O.118	403.5775767	420.15103	389.8728133	415.7345	277.5975533	285.17917
A2O.82	738.3678333	776.6331333	703.6611167	771.4930667	907.1229	903.0407333
A2O.11	2033.985333	2108.233767	2017.849033	1747.2789	1490.152	1539.834167
A2O.75	2062.312467	1968.1965	1962.279033	2012.399	714.7323333	795.46748
A2O.59	1885.019933	1825.966433	1898.454733	1815.762033	1848.843433	1963.1433
AO.58	1261.004667	1347.525433	1310.828733	1421.595567	2385.773733	2459.574233
A2O.17	376.36296	410.9089567	384.16054	426.93851	212.06249	213.5020933
AO.44	1606.165467	1681.363233	1694.599033	1709.8117	867.8099533	872.5071
AO.92	145.3771667	145.18442	152.7767167	144.82249	244.5722567	253.9591167
